Name,Data and time,Latitude,Longitude
image77,28-04-20 06:32,-48.979,166.293
image78,28-04-20 06:32,-49.304,167.722
image79,28-04-20 06:32,-49.591,169.08
image80,28-04-20 06:33,-49.878,170.546
image81,28-04-20 06:33,-50.128,171.936
image82,28-04-20 06:33,-50.375,173.435
image83,28-04-20 06:33,-50.587,174.855
image84,28-04-20 06:34,-50.793,176.383
image85,28-04-20 06:34,-50.965,177.828
image86,28-04-20 06:34,-51.128,179.381
image87,28-04-20 06:34,-51.259,-179.153
image88,28-04-20 06:35,-51.378,-177.581
image89,28-04-20 06:35,-51.468,-176.1
image90,28-04-20 06:35,-51.542,-174.514
image91,28-04-20 06:35,-51.59,-173.024
image92,28-04-20 06:36,-51.618,-171.431
image93,28-04-20 06:36,-51.624,-169.937
image94,28-04-20 06:36,-51.607,-168.343
image95,28-04-20 06:36,-51.57,-166.851
image96,28-04-20 06:37,-51.507,-165.263
image97,28-04-20 06:37,-51.428,-163.779
image98,28-04-20 06:37,-51.321,-162.203
image99,28-04-20 06:37,-51.2,-160.733
image100,28-04-20 06:38,-51.048,-159.175
image101,28-04-20 06:38,-50.886,-157.724
image102,28-04-20 06:38,-50.692,-156.189
image103,28-04-20 06:38,-50.49,-154.763
image104,28-04-20 06:39,-50.254,-153.256
image105,28-04-20 06:39,-50.013,-151.858
image106,28-04-20 06:39,-49.736,-150.383
image107,28-04-20 06:40,-49.458,-149.017
image108,28-04-20 06:40,-49.143,-147.579
image109,28-04-20 06:40,-48.808,-146.16
image110,28-04-20 06:40,-48.454,-144.761
image111,28-04-20 06:41,-48.106,-143.469
image112,28-04-20 06:41,-47.717,-142.11
image113,28-04-20 06:41,-47.337,-140.857
image114,28-04-20 06:41,-46.915,-139.541
image115,28-04-20 06:42,-46.504,-138.327
image116,28-04-20 06:42,-46.051,-137.054
image117,28-04-20 06:42,-45.611,-135.881
image118,28-04-20 06:42,-45.129,-134.65
image119,28-04-20 06:43,-44.663,-133.517
image120,28-04-20 06:43,-44.152,-132.33
image121,28-04-20 06:43,-43.661,-131.236
image122,28-04-20 06:43,-43.125,-130.091
image123,28-04-20 06:44,-42.611,-129.036
image124,28-04-20 06:44,-42.051,-127.932
image125,28-04-20 06:44,-41.515,-126.915
image126,28-04-20 06:44,-40.932,-125.85
image127,28-04-20 06:45,-40.376,-124.87
image128,28-04-20 06:45,-39.773,-123.844
image129,28-04-20 06:45,-39.198,-122.899
image130,28-04-20 06:45,-38.576,-121.909
image131,28-04-20 06:46,-37.984,-120.998
image132,28-04-20 06:46,-37.344,-120.043
image133,28-04-20 06:46,-36.735,-119.164
image134,28-04-20 06:47,-36.079,-118.243
